max_depth,min_samples_split,min_samples_leaf,max_features,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae
10.0,10,10,,0.6364610457437461,135678883.34355068,73577918.17851214,0.4969388279317303,148748175.34477913,87756409.61074458
10.0,2,10,,0.6364610457437461,135678883.34355068,73577918.17851214,0.4969388279317303,148748175.34477913,87756409.61074458
,2,10,,0.6433441403771363,134388301.67969167,71729582.27448975,0.4860691692846807,150346590.4994113,89071570.26730466
,10,10,,0.6433441403771363,134388301.67969167,71729582.27448975,0.4860691692846807,150346590.4994113,89071570.26730466
20.0,2,10,,0.6433441403771363,134388301.67969167,71729582.27448975,0.4860691692846807,150346590.4994113,89071570.26730466
30.0,10,10,,0.6433441403771363,134388301.67969167,71729582.27448975,0.4860691692846807,150346590.4994113,89071570.26730466
30.0,2,10,,0.6433441403771363,134388301.67969167,71729582.27448975,0.4860691692846807,150346590.4994113,89071570.26730466
20.0,10,10,,0.6433441403771363,134388301.67969167,71729582.27448975,0.4860691692846807,150346590.4994113,89071570.26730466
10.0,2,5,,0.7195680373662514,119165499.9950611,66464200.879862055,0.47747458468333104,151598518.59934628,87638236.89559685
10.0,10,5,,0.7195680373662514,119165499.9950611,66464200.879862055,0.47747458468333104,151598518.59934628,87638236.89559685
20.0,10,5,sqrt,0.5318476592955922,153967969.84498626,87746510.09878813,0.4647727837790411,153430020.28375918,94203962.03840883
20.0,2,5,sqrt,0.5318476592955922,153967969.84498626,87746510.09878813,0.4647727837790411,153430020.28375918,94203962.03840883
20.0,2,5,,0.7365676436218145,115497169.78296702,61110791.0189088,0.4574335405787038,154478384.60204917,90933306.03412168
20.0,10,5,,0.7365676436218145,115497169.78296702,61110791.0189088,0.4574335405787038,154478384.60204917,90933306.03412168
,10,5,,0.7365845728675221,115493458.56197795,61085843.33055576,0.4571901179773672,154513034.10241392,91017427.73072131
,2,5,,0.7365845728675221,115493458.56197795,61085843.33055576,0.4571901179773672,154513034.10241392,91017427.73072131
30.0,10,5,,0.7365845728675221,115493458.56197795,61085843.33055576,0.4571901179773672,154513034.10241392,91017427.73072131
30.0,2,5,,0.7365845728675221,115493458.56197795,61085843.33055576,0.4571901179773672,154513034.10241392,91017427.73072131
10.0,2,10,sqrt,0.43897006400089145,168550405.43396118,95926240.089669,0.4461622400064936,156074707.22942787,102074531.07927373
10.0,10,10,sqrt,0.43897006400089145,168550405.43396118,95926240.089669,0.4461622400064936,156074707.22942787,102074531.07927373
