feature,importance
numeric__budget,0.8746632653488727
numeric__run_time_minutes,0.050948574778996676
numeric__year,0.040566278503300746
categorical__genre_3_Fantasy,0.009571273512467855
categorical__mpaa_PG,0.00525753369179339
categorical__genre_1_Adventure,0.0036685576271629295
categorical__genre_4_Family,0.0023028779185546343
categorical__mpaa_Unknown,0.0018835859302099613
categorical__genre_4_Unknown,0.0016794193617863514
categorical__mpaa_PG-13,0.0015402465357425262
categorical__genre_2_Drama,0.001375431206961554
categorical__genre_2_Mystery,0.0012588769194775845
categorical__genre_1_Horror,0.0010965803135348983
categorical__genre_1_Comedy,0.0010549039106991587
categorical__mpaa_R,0.0008283226034338554
categorical__genre_1_Drama,0.0007983560970050972
categorical__genre_3_Romance,0.0004929711640354238
categorical__genre_3_Crime,0.00037406366404113415
categorical__genre_2_Crime,0.0002072458511264989
categorical__genre_4_Thriller,0.00015611842476204985
categorical__genre_3_Unknown,0.00011126590780783833
categorical__genre_1_Biography,8.374033144795385e-05
categorical__genre_2_Unknown,5.724930374935068e-05
categorical__genre_2_Thriller,2.326109302981445e-05
categorical__genre_1_Music,0.0
categorical__genre_1_Fantasy,0.0
categorical__genre_1_Crime,0.0
categorical__genre_1_Animation,0.0
categorical__genre_1_Family,0.0
categorical__genre_1_Documentary,0.0
categorical__genre_2_Musical,0.0
categorical__genre_2_Music,0.0
categorical__genre_2_Horror,0.0
categorical__genre_2_History,0.0
categorical__genre_2_Sport,0.0
categorical__genre_2_War,0.0
categorical__genre_2_Sci-Fi,0.0
categorical__genre_1_Mystery,0.0
categorical__genre_2_Documentary,0.0
categorical__genre_2_Comedy,0.0
categorical__genre_2_Fantasy,0.0
categorical__genre_2_Family,0.0
categorical__genre_2_Animation,0.0
categorical__genre_2_Biography,0.0
categorical__genre_1_Sci-Fi,0.0
categorical__genre_1_Romance,0.0
categorical__genre_3_Horror,0.0
categorical__genre_3_History,0.0
categorical__genre_3_Family,0.0
categorical__genre_3_Drama,0.0
categorical__genre_3_Comedy,0.0
categorical__genre_3_Documentary,0.0
categorical__genre_2_Western,0.0
categorical__genre_3_Biography,0.0
categorical__genre_2_Romance,0.0
categorical__genre_3_War,0.0
categorical__genre_3_Thriller,0.0
categorical__genre_3_Musical,0.0
categorical__genre_3_Mystery,0.0
categorical__genre_3_Sci-Fi,0.0
categorical__genre_3_Sport,0.0
categorical__genre_3_Music,0.0
categorical__genre_4_Horror,0.0
categorical__genre_4_History,0.0
categorical__genre_4_Fantasy,0.0
categorical__genre_4_Drama,0.0
categorical__genre_3_Western,0.0
categorical__genre_4_Crime,0.0
categorical__genre_4_Mystery,0.0
categorical__genre_4_Music,0.0
categorical__genre_4_Sport,0.0
categorical__genre_4_Sci-Fi,0.0
categorical__genre_4_Romance,0.0
categorical__genre_4_News,0.0
categorical__genre_4_Musical,0.0
categorical__mpaa_NC-17,0.0
categorical__genre_4_War,0.0
categorical__genre_4_Western,0.0
